Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6lu7_Compound_10_uff_E=12.34,-4.9,0.0,0.0
6lu7_Compound_10_uff_E=12.34,-4.7,4.197,2.041
6lu7_Compound_10_uff_E=12.34,-4.6,5.171,2.641
6lu7_Compound_10_uff_E=12.34,-4.6,4.567,1.885
6lu7_Compound_10_uff_E=12.34,-4.5,6.128,2.354
6lu7_Compound_10_uff_E=12.34,-4.4,4.666,2.384
6lu7_Compound_10_uff_E=12.34,-4.4,2.61,1.934
6lu7_Compound_10_uff_E=12.34,-4.4,4.184,2.314
6lu7_Compound_10_uff_E=12.34,-4.2,4.26,1.899
6lu7_Compound_11_uff_E=77.42,-5.3,0.0,0.0
6lu7_Compound_11_uff_E=77.42,-5.2,3.598,2.028
6lu7_Compound_11_uff_E=77.42,-4.7,3.383,1.777
6lu7_Compound_11_uff_E=77.42,-4.6,3.46,2.215
6lu7_Compound_11_uff_E=77.42,-4.5,4.423,2.909
6lu7_Compound_11_uff_E=77.42,-4.4,3.245,2.031
6lu7_Compound_11_uff_E=77.42,-4.4,4.07,2.735
6lu7_Compound_11_uff_E=77.42,-4.3,3.73,2.37
6lu7_Compound_11_uff_E=77.42,-4.3,3.663,2.116
6lu7_Compound_12_uff_E=297.21,-5.6,0.0,0.0
6lu7_Compound_12_uff_E=297.21,-5.2,5.048,2.394
6lu7_Compound_12_uff_E=297.21,-5.1,5.139,2.49
6lu7_Compound_12_uff_E=297.21,-4.9,5.33,2.793
6lu7_Compound_12_uff_E=297.21,-4.9,5.315,2.392
6lu7_Compound_12_uff_E=297.21,-4.8,2.943,2.242
6lu7_Compound_12_uff_E=297.21,-4.1,18.85,17.553
6lu7_Compound_12_uff_E=297.21,-4.1,2.746,1.952
6lu7_Compound_12_uff_E=297.21,-4.1,14.503,11.892
6lu7_Compound_13_uff_E=480.02,-6.0,0.0,0.0
6lu7_Compound_13_uff_E=480.02,-5.8,7.011,1.898
6lu7_Compound_13_uff_E=480.02,-5.7,8.403,2.007
6lu7_Compound_13_uff_E=480.02,-5.7,7.506,1.804
6lu7_Compound_13_uff_E=480.02,-5.7,5.719,1.852
6lu7_Compound_13_uff_E=480.02,-5.5,7.935,3.517
6lu7_Compound_13_uff_E=480.02,-5.4,2.05,1.143
6lu7_Compound_13_uff_E=480.02,-5.3,8.184,1.672
